欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
2,M_RF_SN,結構型商品資料檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_RF_SN;SNAP_YYYYMM
3,M_RF_SN,結構型商品資料檔,SN_PROD_ID,結構型商品投資標的編號,結構型商品投資標的編號,財管商品部,Varchar,變動字串,PK,,,主數據庫;類別參照;結構型商品資料檔;結構型商品投資標的編號,fbsods;mdm_sec;MDM_SEC;M_RF_SN;SN_PROD_ID
4,M_RF_SN,結構型商品資料檔,PROD_TYPE_CODE,帳戶類別,200 複委託 / 500 自營,財管商品部,Varchar,變動字串,PK,,,主數據庫;類別參照;結構型商品資料檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_TYPE_CODE
5,M_RF_SN,結構型商品資料檔,PROD_TYPE_DESC,帳戶類別說明,200 複委託 / 500 自營,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_TYPE_DESC
6,M_RF_SN,結構型商品資料檔,PROD_CODE,投資標的代碼,結構型商品代碼,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;投資標的代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_CODE
7,M_RF_SN,結構型商品資料檔,PROD_ABBR_NAME,投資標的簡稱,投資標的簡稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;投資標的簡稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_ABBR_NAME
8,M_RF_SN,結構型商品資料檔,PROD_FULL_NAME,投資標的全名,投資標的全名,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;投資標的全名,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_FULL_NAME
9,M_RF_SN,結構型商品資料檔,PROD_ENG_NAME,投資標的英文名,投資標的英文名,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;投資標的英文名,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_ENG_NAME
10,M_RF_SN,結構型商品資料檔,ISIN_CODE,國際證券識別碼,國際證券識別碼,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;國際證券識別碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;ISIN_CODE
11,M_RF_SN,結構型商品資料檔,PROD_MTYPE_CODE,商品類別,240 境外結構型商品 / 540 境內結構型商品 ,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品類別,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_MTYPE_CODE
12,M_RF_SN,結構型商品資料檔,PROD_MTYPE_DESC,商品類別說明,240 境外結構型商品 / 540 境內結構型商品 ,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品類別說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_MTYPE_DESC
13,M_RF_SN,結構型商品資料檔,UPPER_CMPY_CODE,上手券商代碼,上手券商代碼,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;上手券商代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;UPPER_CMPY_CODE
14,M_RF_SN,結構型商品資料檔,UPPER_CMPY_ABBR_NAME,上手券商簡稱,上手券商簡稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;上手券商簡稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;UPPER_CMPY_ABBR_NAME
15,M_RF_SN,結構型商品資料檔,UPPER_CMPY_FULL_NAME,上手券商全稱,上手券商全稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;上手券商全稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;UPPER_CMPY_FULL_NAME
16,M_RF_SN,結構型商品資料檔,CMPY_CODE,發行公司代碼,發行公司代碼,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行公司代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CMPY_CODE
