欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
1,M_AC_ACCOUNT,帳戶主檔,SNAP_DATE,資料日期,資料更新之日期,數據科學部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SNAP_DATE
2,M_AC_ACCOUNT,帳戶主檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SNAP_YYYYMM
3,M_AC_ACCOUNT,帳戶主檔,ACCT_NBR,客戶帳號,客戶帳號；包含台股、複委託、期貨IB、財管信託、自營帳戶、壽險,數據科學部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶主檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ACCT_NBR
5,M_AC_ACCOUNT,帳戶主檔,PROD_TYPE_CODE,帳戶類別,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,數據科學部,Varchar,變動字串,PK,V,,主數據庫;帳戶主檔;帳戶主檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PROD_TYPE_CODE
6,M_AC_ACCOUNT,帳戶主檔,PROD_TYPE_DESC,帳戶類別說明,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PROD_TYPE_DESC
7,M_AC_ACCOUNT,帳戶主檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PARTY_ID
8,M_AC_ACCOUNT,帳戶主檔,PARTY_ID_MASK,客戶證號_遮罩,遮罩過後的客戶身份證號/統一編號,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;客戶證號_遮罩,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PARTY_ID_MASK
9,M_AC_ACCOUNT,帳戶主檔,SYS_NEW_ACCT_NBR,合併後新客戶帳號,合併後客戶帳號；包含台股、複委託、期貨IB、財管信託、自營帳戶、壽險,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;合併後新客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SYS_NEW_ACCT_NBR
11,M_AC_ACCOUNT,帳戶主檔,OPEN_CHANNEL_CODE,開戶通路代碼,客戶帳號開戶通路之代碼；001 臨櫃 / 002 線上,"經紀業務作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;開戶通路代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_CHANNEL_CODE
12,M_AC_ACCOUNT,帳戶主檔,OPEN_CHANNEL_DESC,開戶通路說明,001 臨櫃 / 002 線上,"經紀業務作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;開戶通路說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_CHANNEL_DESC
13,M_AC_ACCOUNT,帳戶主檔,ACCT_VALID_FLAG,帳戶有效戶註記,"帳戶是否有效；
Y 有效戶 / N 無效戶","經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;帳戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ACCT_VALID_FLAG
14,M_AC_ACCOUNT,帳戶主檔,OPEN_DATE,開戶日期,帳號之開戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_DATE
15,M_AC_ACCOUNT,帳戶主檔,CLOSE_DATE,銷戶日期,帳號之銷戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_DATE
16,M_AC_ACCOUNT,帳戶主檔,CLOSE_REASON_CODE,銷戶原因代碼,帳號之銷戶原因代碼；001 / 002 解約 / 003 靜止 / 004 死亡 / 005 凍結 / 006 違約 / 007 分公司消滅 / 008 例外管理 / 009 無銷戶原因 / 010 靜止有效戶 / 011 凍結有效戶,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶原因代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_REASON_CODE
17,M_AC_ACCOUNT,帳戶主檔,CLOSE_REASON_DESC,銷戶原因說明,001 / 002 解約 / 003 靜止 / 004 死亡 / 005 凍結 / 006 違約 / 007 分公司消滅 / 008 例外管理 / 009 無銷戶原因 / 010 靜止有效戶 / 011 凍結有效戶,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶原因說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_REASON_DESC
18,M_AC_ACCOUNT,帳戶主檔,LAST_TXN_DATE,最後交易往來日期,帳戶之最近交易往來日期,"財管商品部,經紀商品部",DATE,日期,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;最後交易往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;LAST_TXN_DATE
19,M_AC_ACCOUNT,帳戶主檔,E_ACCT_VALID_FLAG,電子戶有效戶註記,"電子交易帳戶是否有效；
Y 有效戶 / N 無效戶","經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;電子戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_ACCT_VALID_FLAG
20,M_AC_ACCOUNT,帳戶主檔,E_START_DATE,電子戶開戶日期,電子戶開戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_START_DATE
21,M_AC_ACCOUNT,帳戶主檔,E_CLOSE_DATE,電子戶銷戶日期,電子戶銷戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_CLOSE_DATE
22,M_AC_ACCOUNT,帳戶主檔,E_LAST_TXN_DATE,電子戶最後往來日期,電子戶之最近交易往來日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶最後往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_LAST_TXN_DATE
23,M_AC_ACCOUNT,帳戶主檔,C_ACCT_VALID_FLAG,信用帳戶有效戶註記,"信用交易帳號是否有效；
Y 有效戶 / N 無效戶",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用帳戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_ACCT_VALID_FLAG
24,M_AC_ACCOUNT,帳戶主檔,C_START_DATE,信用戶開戶日期,信用戶開戶日期,經紀業務作服部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_START_DATE
25,M_AC_ACCOUNT,帳戶主檔,C_CLOSE_DATE,信用戶銷戶日期,信用戶銷戶日期,經紀業務作服部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_CLOSE_DATE
26,M_AC_ACCOUNT,帳戶主檔,C_LAST_TXN_DATE,信用戶最後往來日期,信用戶之最近交易往來日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶最後往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_LAST_TXN_DATE
27,M_AC_ACCOUNT,帳戶主檔,T_DAILY_LIMIT_AMT,台股現貨買賣額度,台股現貨交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;台股現貨買賣額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_DAILY_LIMIT_AMT
28,M_AC_ACCOUNT,帳戶主檔,E_DAILY_LIMIT_AMT,台股現貨電子額度,台股現貨電子交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;台股現貨電子額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_DAILY_LIMIT_AMT
29,M_AC_ACCOUNT,帳戶主檔,C_DAILY_LIMIT_AMT,信用額度,台股現貨信用交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_DAILY_LIMIT_AMT
30,M_AC_ACCOUNT,帳戶主檔,ML_DAILY_LIMIT_AMT,融資額度,台股現貨融資交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;融資額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ML_DAILY_LIMIT_AMT
31,M_AC_ACCOUNT,帳戶主檔,SL_DAILY_LIMIT_AMT,融券額度,台股現貨融券交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;融券額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SL_DAILY_LIMIT_AMT
32,M_AC_ACCOUNT,帳戶主檔,R_DAILY_LIMIT_AMT,興櫃額度,台股現貨興櫃交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;興櫃額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;R_DAILY_LIMIT_AMT
33,M_AC_ACCOUNT,帳戶主檔,T_DT_SIGN_FLAG,現股當沖簽署註記,"現股當沖簽署狀態；先買、先賣任一簽署皆算有簽署
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;現股當沖簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_DT_SIGN_FLAG
34,M_AC_ACCOUNT,帳戶主檔,T_BSBL_SIGN_FLAG,雙向借券簽署註記,"雙向借券簽署狀態
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;雙向借券簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_BSBL_SIGN_FLAG
35,M_AC_ACCOUNT,帳戶主檔,T_URUL_SIGN_FLAG,不限用途借貸簽署註記,"不限用途借貸簽署狀態
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;不限用途借貸簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_URUL_SIGN_FLAG
36,M_AC_ACCOUNT,帳戶主檔,T_DC_SIGN_FLAG,台股定期定額簽署註記,"台股定期定額簽署狀態
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;台股定期定額簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_DC_SIGN_FLAG
37,M_AC_ACCOUNT,帳戶主檔,F_PI_SIGN_FLAG,PI簽署註記,"是否為專業投資帳號之註記
Y 是，為有效PI帳戶/ N 否，已失效或從未申請",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;PI簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;F_PI_SIGN_FLAG
38,M_AC_ACCOUNT,帳戶主檔,BB_SIGN_FLAG,參與詢圈註記,"是否參與詢圈
Y / N",財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;參與詢圈註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BB_SIGN_FLAG
39,M_AC_ACCOUNT,帳戶主檔,T_CL_SIGN_FLAG,分戶帳註記,"是否開立分戶帳
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;分戶帳註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_CL_SIGN_FLAG
40,M_AC_ACCOUNT,帳戶主檔,AREA_CODE,區部代碼,區部代碼,財管輔銷部,Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;區部代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;AREA_CODE
41,M_AC_ACCOUNT,帳戶主檔,AREA_NAME,區部名稱,區部名稱,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;區部名稱,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;AREA_NAME
42,M_AC_ACCOUNT,帳戶主檔,BRANCH_CODE,分公司代碼,分公司代碼,財管輔銷部,Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;分公司代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BRANCH_CODE
43,M_AC_ACCOUNT,帳戶主檔,BRANCH_NAME,分公司名稱,分公司名稱,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;分公司名稱,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BRANCH_NAME
44,M_AC_ACCOUNT,帳戶主檔,EMP_NBR,營業員員編,營業員之員工編號,財管輔銷部,Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;營業員員編,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;EMP_NBR
45,M_AC_ACCOUNT,帳戶主檔,SALES_NBR,營業員代碼,營業員代碼,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SALES_NBR
46,M_AC_ACCOUNT,帳戶主檔,SALES_NAME,營業員姓名,營業員姓名,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員姓名,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SALES_NAME
47,M_AC_ACCOUNT,帳戶主檔,BANK_CODE,交割銀行代碼,交割銀行代碼,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;交割銀行代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BANK_CODE
48,M_AC_ACCOUNT,帳戶主檔,BANK_DESC,交割銀行名稱,交割銀行名稱,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;交割銀行名稱,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BANK_DESC
49,M_AC_ACCOUNT,帳戶主檔,EMAIL_FLAG,email註記,"帳戶是否留存email
Y 有 / N 無
","經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;email註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;EMAIL_FLAG
50,M_AC_ACCOUNT,帳戶主檔,EMAIL_CHK_CODE,email檢核,email狀態檢核；001 正常 / 002 異常 / 003 未留EMAIL,數位金融部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;email檢核,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;EMAIL_CHK_CODE
51,M_AC_ACCOUNT,帳戶主檔,EMAIL_CHK_DESC,email檢核說明,001 正常 / 002 異常 / 003 未留EMAIL,數位金融部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;email檢核說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;EMAIL_CHK_DESC
52,M_AC_ACCOUNT,帳戶主檔,BILL_TYPE_CODE,對帳單寄送方式代碼,對帳單寄送方式；001 電子 / 002 郵寄(通訊地址) / 003 郵寄(戶藉地址) / 004 郵寄(對帳單地址) / 005 郵寄(郵遞地址) / 006 自取 / 007 不寄 / 008 郵寄(其他),"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;對帳單寄送方式代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BILL_TYPE_CODE
53,M_AC_ACCOUNT,帳戶主檔,BILL_TYPE_DESC,對帳單寄送方式說明,001 電子 / 002 郵寄(通訊地址) / 003 郵寄(戶藉地址) / 004 郵寄(對帳單地址) / 005 郵寄(郵遞地址) / 006 自取 / 007 不寄 / 008 郵寄(其他),"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;對帳單寄送方式說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BILL_TYPE_DESC
54,M_AC_ACCOUNT,帳戶主檔,SEGMENT_CODE,今年初客群代碼,貢獻度客群類別，於本年度1月初以去年資料計算而得；013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;今年初客群代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SEGMENT_CODE
55,M_AC_ACCOUNT,帳戶主檔,SEGMENT_DESC,今年初客群代碼說明,013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;今年初客群代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SEGMENT_DESC
56,M_AC_ACCOUNT,帳戶主檔,C_SEGMENT_CODE,今年初ABC客群代碼,C_SEGMENT_CODE已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;今年初ABC客群代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_SEGMENT_CODE
57,M_AC_ACCOUNT,帳戶主檔,C_SEGMENT_DESC,今年初ABC客群代碼說明,C_SEGMENT_DESC已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;今年初ABC客群代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_SEGMENT_DESC
58,M_AC_ACCOUNT,帳戶主檔,BF_SEGMENT_CODE,去年初客群代碼,BF_SEGMENT_CODE已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;去年初客群代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BF_SEGMENT_CODE
59,M_AC_ACCOUNT,帳戶主檔,BF_SEGMENT_DESC,去年初客群代碼說明,BF_SEGMENT_DESC已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;去年初客群代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BF_SEGMENT_DESC
60,M_AC_ACCOUNT,帳戶主檔,BF_C_SEGMENT_CODE,去年初ABC客群代碼,BF_C_SEGMENT_CODE已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;去年初ABC客群代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BF_C_SEGMENT_CODE
61,M_AC_ACCOUNT,帳戶主檔,BF_C_SEGMENT_DESC,去年初ABC客群代碼說明,BF_C_SEGMENT_DESC已停止更新,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;去年初ABC客群代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;BF_C_SEGMENT_DESC
62,M_AC_ACCOUNT,帳戶主檔,NW_SEGMENT_CODE,現況客群代碼,貢獻度客群類別，最近一次計算之最新客群代碼；013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;現況客群代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;NW_SEGMENT_CODE
63,M_AC_ACCOUNT,帳戶主檔,NW_SEGMENT_DESC,現況客群說明,013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;現況客群說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;NW_SEGMENT_DESC
64,M_AC_ACCOUNT,帳戶主檔,DS_FLAG,營業員為DS註記,"營業員是否為DS(Direct Sales)
Y 是 / N 否",財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員為DS註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;DS_FLAG
65,M_AC_ACCOUNT,帳戶主檔,C_M_RATE,整戶維持率,(融資擔保證券當日市值+融券擔保證券當日市值及保證金)*100%/(原融資金額+融券證券當日市值),經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;整戶維持率,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_M_RATE
66,M_AC_ACCOUNT,帳戶主檔,T_URUL_M_RATE,不限用途維持率,(擔保品當日市值+補繳擔保品當日市值)*100%/原借款金額 ,經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;不限用途維持率,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_URUL_M_RATE
67,M_AC_ACCOUNT,帳戶主檔,T_BSBL_M_RATE,借券擔保維持率,(擔保品當日市值/當日收盤價)*100%,借券業務部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;借券擔保維持率,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_BSBL_M_RATE
68,M_AC_ACCOUNT,帳戶主檔,OT_DAILY_LIMIT_AMT,同業買賣額度,客戶於其他券商的買賣額度總和,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;同業買賣額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OT_DAILY_LIMIT_AMT
69,M_AC_ACCOUNT,帳戶主檔,PI_EXPIRY_DATE,專業投資人到期日(複委託+自營),帳戶專業投資人資格簽署的到期日,經紀業務作服部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;專業投資人到期日(複委託+自營),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PI_EXPIRY_DATE
70,M_AC_ACCOUNT,帳戶主檔,OPEN_SOURCE_CODE,開戶來源別代碼,"開戶來源別代碼
1 自來戶 / 2 自行開發 / 3 關係企業",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;開戶來源別代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_SOURCE_CODE
71,M_AC_ACCOUNT,帳戶主檔,OPEN_SOURCE_DESC,開戶來源別說明,"開戶來源別說明
1 自來戶 / 2 自行開發 / 3 關係企業",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;開戶來源別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_SOURCE_DESC
72,M_AC_ACCOUNT,帳戶主檔,E_OPEN_SOURCE_CODE,線上進件來源代碼,"線上開戶「進件」之來源別代碼 
001 廣告及KOL / 002 MGM推薦連結 / 003 官網及其他來源 / 004 下單平台 / 005 跨BU / 006 富邦LINE / 007 證券來源
若欲辨認客戶之線上、線下開戶情況，請使用 OPEN_CHANNEL_CODE/OPEN_CHANNEL_DESC欄位",數位金融部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;線上進件來源代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_OPEN_SOURCE_CODE
73,M_AC_ACCOUNT,帳戶主檔,E_OPEN_SOURCE_DESC,線上進件來源說明,"線上開戶「進件」之來源別說明
001 廣告及KOL / 002 MGM推薦連結 / 003 官網及其他來源 / 004 下單平台 / 005 跨BU / 006 富邦LINE / 007 證券來源
若欲辨認客戶之線上、線下開戶情況，請使用 OPEN_CHANNEL_CODE/OPEN_CHANNEL_DESC欄位",數位金融部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;線上進件來源說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_OPEN_SOURCE_DESC
74,M_AC_ACCOUNT,帳戶主檔,FI_FLAG,營業員FI註記,"營業員FI註記
Y / N",財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員FI註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;FI_FLAG
75,M_AC_ACCOUNT,帳戶主檔,ORG_DEPT_CODE,營業員內外法代碼,001 內法 / 002 外法 / 003 數位分公司 / 004 其他,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員內外法代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ORG_DEPT_CODE
76,M_AC_ACCOUNT,帳戶主檔,ORG_DEPT_DESC,營業員內外法代碼說明,001 內法 / 002 外法 / 003 數位分公司 / 004 其他,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;營業員內外法代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ORG_DEPT_DESC
77,M_AC_ACCOUNT,帳戶主檔,OPEN_SALES_NBR,開戶營業員代碼,開戶營業員,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;開戶營業員代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_SALES_NBR
78,M_AC_ACCOUNT,帳戶主檔,FUND_SALES_NBR,基金營業員代碼,基金營業員,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;基金營業員代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;FUND_SALES_NBR
79,M_AC_ACCOUNT,帳戶主檔,F_DAILY_LIMIT_AMT,國內期貨下單額度,國內期貨下單額度,經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;國內期貨下單額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;F_DAILY_LIMIT_AMT
